model,loss,Replacement,Submodels,Voting,Ensemble,Sessions,Trials
n4_eA_rF_vMed_s64_t50,0.57374382,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.57374388,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.57374388,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s64_t50,0.57374388,FALSE,4,median,average,64,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513525,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513525,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513584,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s32_t50,0.618513525,FALSE,4,median,average,32,50
n4_eA_rF_vMed_s256_t50,0.598554194,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554134,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554134,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554194,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554134,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554075,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554134,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554134,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554194,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.598554134,FALSE,4,median,average,256,50
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.612756193,FALSE,16,median,average,32,200
model_name,0.612756133,FALSE,16,median,average,32,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.63675952,FALSE,16,median,average,64,200
model_name,0.6367594,FALSE,16,median,average,64,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.63675952,FALSE,16,median,average,64,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.63675946,FALSE,16,median,average,64,200
model_name,0.606166601,FALSE,16,median,average,128,200
model_name,0.60616672,FALSE,16,median,average,128,200
model_name,0.60616672,FALSE,16,median,average,128,200
model_name,0.606166601,FALSE,16,median,average,128,200
model_name,0.606166661,FALSE,16,median,average,128,200
model_name,0.60616672,FALSE,16,median,average,128,200
model_name,0.60616672,FALSE,16,median,average,128,200
model_name,0.606166601,FALSE,16,median,average,128,200
model_name,0.606166661,FALSE,16,median,average,128,200
model_name,0.60616672,FALSE,16,median,average,128,200
model_name,0.591883838,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883838,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.591883779,FALSE,32,median,average,32,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.601558626,FALSE,32,median,average,64,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.601558626,FALSE,32,median,average,64,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.601558506,FALSE,32,median,average,64,200
model_name,0.601558566,FALSE,32,median,average,64,200
model_name,0.586149395,FALSE,32,median,average,128,200
model_name,0.586149395,FALSE,32,median,average,128,200
model_name,0.586149454,FALSE,32,median,average,128,200
model_name,0.586149454,FALSE,32,median,average,128,200
model_name,0.586149454,FALSE,32,median,average,128,200
model_name,0.586149395,FALSE,32,median,average,128,200
model_name,0.586149395,FALSE,32,median,average,128,200
model_name,0.586149395,FALSE,32,median,average,128,200
model_name,0.586149395,FALSE,32,median,average,128,200
model_name,0.586149454,FALSE,32,median,average,128,200
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.6039059760000001,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906035,FALSE,4,median,average,256,50
n4_eA_rF_vMed_s256_t50,0.603906095,FALSE,4,median,average,256,50
