participant_id,x_learning_rate_reward_x_learning_rate_reward,x_value_reward_not_chosen_x_value_reward_not_chosen,x_value_choice_not_chosen_x_value_choice_not_chosen,x_learning_rate_reward_c_reward,x_value_choice_chosen_c_value_reward,x_learning_rate_reward_c_value_choice,x_value_choice_not_chosen_1,x_learning_rate_reward_c_value_reward,x_value_choice_not_chosen_c_value_reward,x_value_reward_not_chosen_1,x_value_choice_chosen_x_value_choice_chosen,x_value_choice_chosen_1,x_value_reward_not_chosen_c_value_choice,x_learning_rate_reward_1,beta_reward,beta_choice,params_x_learning_rate_reward,params_x_value_reward_not_chosen,params_x_value_choice_chosen,params_x_value_choice_not_chosen,total_params,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,switch_rate,stay_after_reward,perseveration,avg_reward,n_trials,slcn_age - years,nll_spice,nll_rnn,trial_likelihood_spice,trial_likelihood_rnn,bic_spice,aic_spice,n_parameters_spice,metric_n_trials
43.0,0.0,0.0,0.0,0.0,0.9868531155584048,0.0,0.10654025247150677,0.0,1.0085718733061855,0.41921498359844445,0.0,0.13304278562551558,0.0,0.9933647390206655,4.852553844451904,0.4067871570587158,1,1,2,2,6,-0.041782435,-0.02480619,-0.017694145,0.013603795,0.030719798,0.06162938,2.389253e-10,-0.05649818,-0.037623078,0.031812668,-0.034121327,-0.0218587,0.013943492,0.0004940394,-0.04588148,0.05320721,0.0528392,4.9048066e-10,-1.6379467e-10,-0.14723898,0.0004582469,0.041506734,0.45384615384615384,0.9411764705882353,0.5461538461538461,0.5190839694656488,131,11.95619439,277.11036312980644,276.7468852070466,0.34726290253251735,0.3477450017478461,593.1610018632575,570.2207262596129,8,131
349.0,0.0,0.0,0.0,0.0,0.960775524789741,0.0,0.7814206198350945,0.0,0.0,0.23004122938101104,0.0,0.0,0.0,0.9985139811038974,6.94244384765625,0.0,1,1,1,1,4,-0.104898565,0.023475545,-0.044560794,0.032918174,0.1355109,0.12668982,6.7611233e-10,-0.14808568,-0.14174686,-0.031486448,-0.080078796,-0.10433091,-0.011652975,-0.00034801866,-0.10584036,0.11621832,0.21443345,2.6418348e-10,1.0830726e-09,-0.18820798,-0.00032450884,0.13671607,0.4076923076923077,1.0,0.5923076923076923,0.5343511450381679,131,26.0,363.8930120441271,375.87295325238097,0.24934828469418185,0.23820358005251632,752.1236963405321,737.7860240882542,5,131
320.0,0.0,0.46727860255371245,0.0,0.0,1.3174530473310364,0.3277808431532555,0.0,0.0,0.0,0.47449166864035486,0.0,-0.21567376526728202,0.0,0.412014009013686,4.96026086807251,3.4423789978027344,2,2,2,0,6,0.06980557,-0.017764868,0.047070198,-0.035492726,0.0233674,0.063789435,6.3393363e-10,0.095507346,0.07968357,0.030413598,0.08833685,-0.038312603,0.010125234,0.00052950386,0.11870367,0.21237002,0.064206205,3.8735615e-09,1.7986216e-09,0.15847477,0.0004928604,-0.16288851,0.17692307692307693,0.9594594594594594,0.823076923076923,0.5725190839694656,131,26.0,113.52003310071076,146.315382081682,0.6483772545489598,0.5720918881985989,265.9803418050662,243.04006620142152,8,131
189.0,0.0,0.0,0.0,0.0,1.0547743029475558,0.0,0.8903048073760903,0.0,0.0,0.5459983300504877,0.0,0.06643312060418986,0.0,0.932320813934008,2.443382978439331,1.4651209115982056,1,1,2,1,5,0.05068757,-0.05174817,0.021256473,0.03134419,-0.09175574,-0.02609703,-8.913188e-10,-0.009120528,-0.012051097,0.06608134,-0.072530314,0.070523225,0.028982908,0.0010854749,-0.09617768,0.04979174,-0.1262032,7.204105e-10,-1.767291e-09,-0.04065444,0.0010101817,0.08857657,0.46923076923076923,0.7936507936507936,0.5307692307692308,0.48091603053435117,131,16.30663929,174.03555961110692,178.1021283537285,0.5146553317493675,0.5067289083871175,382.14386037540294,362.07111922221384,7,131
18.0,0.0,0.0,0.0,0.0,1.106563251697846,0.0,-0.1429021475879271,0.0,1.0469241177659856,0.5149961439861503,0.0,0.0,0.0,0.852714934845765,2.912982702255249,2.7646377086639404,1,1,1,2,5,0.05390463,-0.011324427,0.064094335,0.0044205757,-0.07067401,-0.017816842,-1.9863653e-09,0.053442452,0.008101536,0.020887887,-0.0071457834,0.043247573,0.017292704,0.00095627294,-0.027245393,0.08851354,-0.08883389,6.383233e-09,6.4335637e-10,0.09021959,0.0009376833,-0.034530953,0.15483870967741936,0.978494623655914,0.8451612903225807,0.6025641025641025,156,12.63791923,141.85190382813192,138.35583425518075,0.6346678181994584,0.6418194876485968,319.00778347469856,297.70380765626385,7,156
173.0,0.0,0.0,0.0,0.0,0.6056444093312947,0.0,-0.05552624767810769,0.0,1.1217761783145648,0.24666791092841883,0.0,0.44167854139794294,0.566424835341908,0.9704570748408632,7.794838905334473,3.136838912963867,1,2,2,2,7,-0.02234543,0.057089638,-0.002084295,0.0031122514,0.19742715,0.13164885,6.9201506e-10,0.072616786,0.049194276,-0.065692574,-0.0099372985,-0.15142606,-0.03184982,-0.0009150696,-0.018978357,-0.06780763,0.27398524,-2.3902094e-09,-7.401566e-10,0.1277039,-0.00085759227,0.021307757,0.2923076923076923,1.0,0.7076923076923077,0.6412213740458015,131,15.52635181,296.06232733294075,261.213353712948,0.3230303869466823,0.3689856468013241,635.9324647199818,610.1246546658815,9,131
457.0,0.0,0.0,0.0,0.0,0.9957001263640864,0.0,0.09368579046620774,0.0,1.1052558770702006,0.4739038181743494,0.0,0.0,0.0,0.7625585511326787,9.219598770141602,1.8508182764053345,1,1,1,2,5,0.15030581,-0.14359078,0.05829742,0.020897035,0.2068166,0.36686745,1.3384275e-09,-0.117778026,-0.12778142,0.1831142,-0.051044695,-0.1686955,0.081142105,0.0031073545,-0.06901345,0.1952064,0.33151874,5.613323e-10,8.800144e-11,-0.0018109487,0.0028941792,0.012031592,0.16923076923076924,1.0,0.8307692307692308,0.648854961832061,131,18.41666667,162.41454130282858,145.01159261775717,0.5379967125181352,0.5749458818496975,358.90182375884626,338.82908260565716,7,131
56.0,0.0,0.0,0.0,0.0,1.108144636240312,0.0,-0.09335712793064431,0.0,1.0533407454509798,0.23368461364553933,0.0,0.0,0.4843349157338536,0.870630260507265,4.716876029968262,4.72552490234375,1,2,1,2,6,0.00010482794,0.036490563,0.13564876,0.0024395988,0.028648948,0.015970511,3.957366e-09,0.10528038,-0.03442956,0.007975503,-0.0012766839,-0.03898749,-0.00855453,0.0007707121,-0.10302309,0.09005966,0.052618764,3.0136693e-09,1.8147984e-08,0.2877001,0.00060486636,-0.07391035,0.10852713178294573,0.9873417721518988,0.8914728682170543,0.6153846153846154,130,11.15947981,68.77979783789495,77.36201545605579,0.7675607235704733,0.7426382626684846,176.43809491068328,153.5595956757899,8,130
206.0,0.0,0.5446294045578631,0.0,0.0,0.6115991886453634,0.0,0.0,0.0,0.35039495467717696,0.4019603275828841,0.0,0.41104088062606103,0.0,0.9980767031510664,3.7194738388061523,0.0,1,2,2,1,6,-0.22440656,0.007053698,-0.09249712,-0.024819333,-0.0061490564,-0.021083781,-1.1948196e-09,0.062370814,0.17689353,-0.013308205,0.060446795,0.025484333,-0.0035302434,-0.00014364517,0.087131925,-0.10175784,-0.01863336,-2.382884e-09,-5.6033905e-10,-0.18820685,-0.00013501244,-0.08007035,0.6230769230769231,0.696969696969697,0.3769230769230769,0.5114503816793893,131,8.227241615,301.05703889973825,356.01729490270986,0.3169305331154518,0.256957484679821,636.1868189526656,616.1140777994765,7,131
455.0,0.0,0.0,0.0,0.0,0.9990396244004631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966934218009322,4.925735950469971,2.7437379360198975,1,0,1,0,2,-0.046168856,0.02113087,-0.020547427,-0.002096857,0.038607087,0.030935181,-3.9732554e-11,-0.17831208,-0.19339275,-0.027988799,0.0051922766,-0.03490815,-0.011235054,-0.00039001805,0.0069277724,0.10998435,0.070141256,4.0026274e-10,7.602406e-11,0.08811478,-0.0003639162,0.00043205172,0.16923076923076924,1.0,0.8307692307692308,0.549618320610687,131,20.25,127.92185984139627,122.63191218292988,0.6136985861268228,0.6262154902299666,275.31385748461486,263.84371968279254,4,131
