,q,c,r
61,0.6205163224511825,1.0,0.0
62,0.46538724183838687,0.0,1.0
63,0.46538724183838687,1.0,0.0
64,0.34904043137879015,0.0,1.0
65,0.34904043137879015,0.0,1.0
66,0.34904043137879015,1.0,0.0
67,0.26178032353409264,0.0,0.0
68,0.26178032353409264,1.0,1.0
69,0.44633524265056945,1.0,1.0
70,0.5847514319879271,1.0,0.0
71,0.43856357399094537,0.0,1.0
72,0.43856357399094537,0.0,1.0
73,0.43856357399094537,1.0,1.0
74,0.578922680493209,1.0,1.0
75,0.6841920103699068,1.0,1.0
76,0.7631440077774301,0.0,1.0
77,0.7631440077774301,0.0,1.0
78,0.7631440077774301,0.0,1.0
79,0.7631440077774301,1.0,1.0
80,0.8223580058330726,0.0,1.0
81,0.8223580058330726,0.0,1.0
82,0.8223580058330726,1.0,1.0
83,0.8667685043748045,0.0,1.0
84,0.8667685043748045,1.0,1.0
85,0.9000763782811033,1.0,1.0
86,0.9250572837108275,0.0,1.0
87,0.9250572837108275,0.0,1.0
88,0.9250572837108275,1.0,1.0
89,0.9437929627831206,0.0,1.0
90,0.9437929627831206,1.0,1.0
91,0.9578447220873405,0.0,1.0
92,0.9578447220873405,0.0,1.0
93,0.9578447220873405,1.0,1.0
94,0.9683835415655053,1.0,0.0
95,0.7262876561741289,1.0,1.0
96,0.7947157421305967,1.0,1.0
97,0.8460368065979476,1.0,1.0
98,0.8845276049484607,0.0,1.0
99,0.8845276049484607,1.0,1.0
100,0.9133957037113456,1.0,1.0
101,0.9350467777835092,0.0,1.0
102,0.9350467777835092,0.0,1.0
103,0.9350467777835092,1.0,1.0
104,0.9512850833376318,1.0,1.0
105,0.9634638125032239,1.0,0.0
106,0.7225978593774179,1.0,0.0
107,0.5419483945330634,1.0,1.0
108,0.6564612958997975,0.0,1.0
109,0.6564612958997975,1.0,1.0
110,0.7423459719248482,0.0,0.0
111,0.7423459719248482,1.0,1.0
112,0.8067594789436361,0.0,0.0
113,0.8067594789436361,1.0,1.0
114,0.855069609207727,1.0,1.0
115,0.8913022069057952,0.0,1.0
116,0.8913022069057952,0.0,1.0
117,0.8913022069057952,0.0,1.0
118,0.8913022069057952,0.0,1.0
119,0.8913022069057952,0.0,1.0
120,0.8913022069057952,1.0,1.0
121,0.9184766551793464,1.0,1.0
122,0.9388574913845098,0.0,1.0
123,0.9388574913845098,0.0,1.0
124,0.9388574913845098,0.0,1.0
125,0.9388574913845098,1.0,1.0
126,0.9541431185383824,1.0,1.0
127,0.9656073389037868,1.0,1.0
128,0.9742055041778401,1.0,1.0
129,0.98065412813338,0.0,1.0
130,0.98065412813338,0.0,1.0
131,0.98065412813338,0.0,1.0
132,0.98065412813338,1.0,0.0
133,0.7354905961000351,0.0,1.0
134,0.7354905961000351,0.0,1.0
135,0.7354905961000351,0.0,1.0
136,0.7354905961000351,1.0,0.0
137,0.5516179470750263,1.0,1.0
138,0.6637134603062698,0.0,1.0
139,0.6637134603062698,0.0,0.0
140,0.6637134603062698,0.0,0.0
141,0.6637134603062698,0.0,1.0
142,0.6637134603062698,0.0,0.0
143,0.6637134603062698,1.0,0.0
144,0.4977850952297023,1.0,0.0
145,0.37333882142227676,0.0,1.0
146,0.37333882142227676,0.0,1.0
147,0.37333882142227676,0.0,1.0
148,0.37333882142227676,0.0,1.0
149,0.37333882142227676,0.0,1.0
150,0.37333882142227676,0.0,1.0
151,0.37333882142227676,1.0,0.0
152,0.28000411606670755,0.0,1.0
153,0.28000411606670755,0.0,0.0
154,0.28000411606670755,1.0,0.0
155,0.21000308705003068,0.0,1.0
156,0.21000308705003068,1.0,0.0
157,0.157502315287523,1.0,0.0
158,0.11812673646564226,0.0,1.0
159,0.11812673646564226,0.0,0.0
160,0.11812673646564226,0.0,1.0
161,0.11812673646564226,0.0,1.0
162,0.11812673646564226,1.0,1.0
163,0.3385950523492317,0.0,1.0
164,0.3385950523492317,0.0,1.0
165,0.3385950523492317,1.0,0.0
166,0.25394628926192375,0.0,1.0
167,0.25394628926192375,1.0,1.0
168,0.4404597169464428,0.0,1.0
169,0.4404597169464428,0.0,1.0
170,0.4404597169464428,0.0,1.0
171,0.4404597169464428,0.0,1.0
172,0.4404597169464428,0.0,1.0
173,0.4404597169464428,0.0,1.0
174,0.4404597169464428,0.0,1.0
175,0.4404597169464428,1.0,0.0
176,0.3303447877098321,1.0,0.0
177,0.24775859078237408,0.0,0.0
178,0.24775859078237408,1.0,0.0
179,0.18581894308678057,0.0,1.0
180,0.18581894308678057,0.0,1.0
181,0.18581894308678057,0.0,1.0
182,0.18581894308678057,0.0,1.0
183,0.18581894308678057,0.0,1.0
184,0.18581894308678057,0.0,1.0
185,0.18581894308678057,0.0,1.0
186,0.18581894308678057,0.0,1.0
187,0.18581894308678057,0.0,1.0
188,0.18581894308678057,0.0,1.0
189,0.18581894308678057,1.0,0.0
190,0.13936420731508542,0.0,1.0
191,0.13936420731508542,0.0,1.0
192,0.13936420731508542,1.0,1.0
193,0.3545231554863141,1.0,1.0
194,0.5158923666147356,0.0,1.0
195,0.5158923666147356,0.0,1.0
196,0.5158923666147356,0.0,1.0
197,0.5158923666147356,0.0,1.0
198,0.5158923666147356,0.0,0.0
199,0.5158923666147356,0.0,1.0
